id,cfTitle,cfAbstr,keywords,keyword_clean,lang
12237848,Pattern Matching in Conceptual Models – A Formal Multi-Modelling Language Approach,"<p>Recognizing patterns in conceptual models is useful for a number of
purposes, for example revealing syntactical errors, model comparison, and identification of business process improvement potentials. In this contribution, we introduce a formal approach for the specification and matching of structural patterns in
conceptual models. Unlike existing approaches, we do not focus on a certain application problem or a specific modelling language. Instead, our approach is generic
making it applicable for any pattern matching purpose and any conceptual modelling language. In order to build sets representing structural model patterns, we define formal operations based on set theory, which can be applied to arbitrary models represented by sets. Besides a conceptual and formal specification of our approach, we present a prototypical modelling tool that shows its applicability
through a particular application scenario. <br /></p>",pattern matching; conceptual modeling; business process management,"['pattern matching', ' conceptual modeling', ' business process management']",en
12237937,Supporting Distributed Conceptual Modelling through Naming Conventions - A Tool-based Linguistic Approach,,conceptual modeling; naming conventions; distributed modeling; computer linguistic,"['conceptual modeling', ' naming conventions', ' distributed modeling', ' computer linguistic']",en
12238021,Priorisierung von Geschäftsprozessen für die prozessorientierte Reorganisation in öffentlichen Verwaltungen,,,,de
12238097,Konfigurative Referenzmodellierung,,,,de
12238172,Berichtswesenvereinfachung als Design Science Research,,,,de
12238256,Vorbereitung der Prozessmodellierung,,,,de
12238332,Ein konfiguratives Metamodellierungswerkzeug,,Metamodellierung; Modellierungswerkzeug; Konfiguration; Informationsmodellierung; Methodenentwicklung,"['Metamodellierung', ' Modellierungswerkzeug', ' Konfiguration', ' Informationsmodellierung', ' Methodenentwicklung']",de
12238419,Eine Methode zur formalen Spezifikation und Umsetzung von Bezeichnungskonventionen für fachkonzeptionelle Informationsmodelle,,Informationsmodellierung; Bezeichnungskonventionen; Linguistik,"['Informationsmodellierung', ' Bezeichnungskonventionen', ' Linguistik']",de
12238508,Anpassung von Referenzmodellen mit adapt(x),"Das konfigurative Referenzmodellierungswerkzeug adapt(x) wurde als ein Add-on für den ARIS Business Architect 7.0 entwickelt. Aufgrund der Möglichkeit des plattformunabhängigen XML-Exports sowohl von Modellen als auch von ganzen Datenbanken findet somit lediglich die Modellierung als solche sowie die Attributierung der Modellelemente in der konventionellen Modellierungsumgebung ARIS statt. Die eigentliche Konfiguration ist in ein Add-on ausgelagert, das unter Zuhilfenahme verschiedener Frameworks in Java implementiert ist und durch seine modulare Entwicklungen mittels weniger Ergänzungen auch an andere Modellierungsumgebungen angepasst werden kann. Um eine Konfiguration zu ermöglichen, die den fachkonzeptionellen Anforderungen entspricht, wird der von ARIS erzeugte Code durch eine Übersetzungsschnittstelle in ein generisches XML-Schema übersetzt. Dieses ermöglicht eine vereinfachte Anwendung von Konfigurationsmechanismen auf die Modelldaten. Zur Sicherstellung einer konsistenten Datenhaltung greifen beide Teile auf eine gemeinsame Datenbasis zu. Dieses Umfeld führt zu Besonderheiten bei der Bedienung von adapt(x) im Zusammenspiel mit ARIS, welche in diesem Beitrag ausführlich erläutert werden.","Referenzmodelle, Software, Konfiguration","['Fachkonzept', ' Referenzmodellierung']",de
12238593,Fachkonzept eines konfigurativen Referenzmodellierungswerkzeugs,"Die konfigurative Referenzmodellierung stellt ein probates Mittel zur Verwaltung von Varianten konzeptioneller Softwaremodelle dar. Eine adäquate Unterstützung der Softwareentwicklung durch die konfigurative Referenzmodellierung kann jedoch nur dann gewährleistet werden, wenn ein entsprechendes Modellierungswerkzeug zur Verfügung steht. Die konzeptionellen Grundlagen der konfigurativen Referenzmodellierung werden in diesem Beitrag eingeführt und auf das konkrete Problem einer Werkzeugimplementierung übertragen. Es wird ein Fachkonzept in Form eines Datenmodells vorgestellt, das den Ausgangspunkt für die Implementierung eines konfigurativen Referenzmodellierungswerkzeugs darstellt. Instanzen der einzelnen Elemente des Datenmodells repräsentieren hierbei den Inhalt der durch das Modellierungswerkzeug zu verwaltenden Modelle und Modellvarianten.",Fachkonzept; Referenzmodellierung,"['Konfiguration', ' Informationsmodellierung']",de
12238675,Konfiguration von Informationsmodellen – Untersuchungen zu Bedarf und Werkzeugunterstützung,"Die Unterst&uuml;tzung der Informationssystemmodellierung durch Modellierungswerkzeuge stelltein etabliertes Gestaltungsziel der Wirtschaftsinformatik dar. Der vorliegende Beitrag belegt,dass die Anpassung von Informationsmodellen abh&auml;ngig von ihren Anwendungskontexten eineaufw&auml;ndige Aufgabe gegenw&auml;rtiger Modellierungspraxis darstellt und daher Bedarf zur Anpassungsunterst&uuml;tzungdurch Modellierungswerkzeuge besteht. Auf der Basis empirischer Untersuchungenwird eine Klassifikation von Modellvariantenbildungsformen abgeleitet, auf derenBasis eine Evaluation bestehender Modellierungswerkzeuge vorgenommen wird. Die Untersuchungzeigt weit reichende Entwicklungspotenziale bei der Werkzeugunterst&uuml;tzung des Modellvariantenmanagementsauf.",Konfiguration; Informationsmodellierung,"['Design Science, Meta Modeling, Model Variant Management, Multi-perspective Information Modeling, Tool Support']",de
12238763,Towards Tool Support for Information Model Variant Management – A Design Science Approach,"Information models are important instruments for deciders in enterprise engineering because they help structure the environment which is subject of a reorganisation task. The perspectives on the enterprise differ depending on engineers and tasks. This is why the number of models is increasing in enterprises as more different user groups exist. This can cause a lot of redundant work and inconsistencies. This paper reports on a design science approach to develop a modelling tool which is able to provide specific variants of information models, which are aligned to the different perspectives of user groups. Therefore the tool supports a set of configuration mechanisms, which are specialised on the definition of certain kinds of differences between the model variants. The supported differences concern model elements and concepts of the modelling languages including their representations and designations. The relevant kinds of differences were identified by explorative case studies and a survey of experts. The configuration mechanisms were conceptualised by data models in a search process divided in two steps. A prototype shows the feasibility of the developed concepts.","['Design Science', 'Meta Modeling', 'Model Variant Management', 'Multi-perspective Information Modeling', 'Tool Support']",,en
12238839,Towards Tool Support for Configurative Reference Modeling - Experiences from a Meta Modeling Teaching Case,"The adaptation of conceptual information models to specific requirements has been discussed for several years. Especially, different approaches to information model configuration have reached certain popularity. Nevertheless, up to now, model configuration is not supported sufficiently by recent modeling tools. In this paper, we present the implementation of a meta model based model configuration approach in order to close this gap. The results of the implementation are two modeling tool add-ons that enable model configuration based on the modeling tools ARIS and H2. The implementation was conducted in the course of a teaching seminar at the University of Münster. Besides the configuration approach as well as architectures and functionalities of the developed tools, we discuss teaching experiences.",,"['Control system synthesis, Costs, Companies, Context modeling, Adaptation model, Sections, Information systems, Business process re-engineering, Artificial intelligence, Acceleration, business data processing, enterprise resource planning, enterprise system, preconfigured processes, reference information models, customization process, customer needs']",en
12238916,Enterprise System introduction with Controlling Enabled Configurative Information Models,"Customization of Enterprise Systems (ES) is often a time and cost consuming task. Therefore many of these ES, such as SAP R/3, are provided with preconfigured processes and data objects that can be regarded as best-practice and which are documented by reference information models. Customizing can be accelerated if these models are used for the customization process. This requires profound configuration and adaptation mechanisms that encompass variants due to specific customer needs. To ensure continuous improvement towards a shorter customization time and reduced cost, controlling of the adaptation process becomes a crucial task. This controlling aims at improving the reference model basis and their configuration mechanisms. Therefore we introduce configuration mechanisms that can be used to adapt reference information models due to company characteristics. Afterwards the configuration mechanisms are interpreted by the ES to perform the necessary customization steps.","['Control system synthesis', 'Costs', 'Companies', 'Context modeling', 'Adaptation model', 'Sections', 'Information systems', 'Business process re-engineering', 'Artificial intelligence', 'Acceleration', 'business data processing', 'enterprise resource planning', 'enterprise system', 'preconfigured processes', 'reference information models', 'customization process', 'customer needs']","['EGovernment, Process management, Process modelling, Process oriented reorganisation, Reference modelling']",en
12238999,Experiences in Process-oriented Reorganisation through Reference Modelling in Public Administrations - The Case Study Regio@KomM,"During the last years the optimisation of business processes has gained more and more importance in the context of modernising public administrations. In line with the concept of electronic government (eGovernment) citizens demand not only an improved design of internet sites, but also the creation of real added value to administrational services. In dimensions of benefits (from the citizen's point of view) and in dimensions of cost reduction (from the administrations' point of view) the added value can be generated by providing fully transactional online citizen services. The establishment of such services should be supported by reorganising the underlying business processes in terms of process organisation and enabling ICT. Approximately 13,000 German municipalities mainly have to deal with the same spectrum of tasks. The administration processes that are necessary to fulfil those tasks share strong structural analogies. Within process oriented reorganisation projects, reference models can contribute to cost reduction in the phase of to-be modelling. Aim of this paper is to present experiences in applying reference modelling within the process oriented reorganisation project Regio@KomM in public administrations. The reorganisation of the process of issuing a general debit note authorisation exemplifies the practical applicability and the value potential of reference modelling in public administrations.","['EGovernment', 'Process management', 'Process modelling', 'Process oriented reorganisation', 'Reference modelling']",,en
12239075,The ProKMuni-Platform - Process Oriented Knowledge Management for Municipalities,"Public administrations are increasingly confronted with a modernization and service gap. Within the scope of eGovernment initiatives in the last few years, administrations try to overcome this gap by reorganizing and automating their business processes. In order to increase the quality of operations and processes, reference process models can be used as a valuable design support. Reference process models show a high level of reusability and thus allow for an extensive exploitation of synergy potentials as well as a reduction of redundancies. For the design of reference process models public administrations need to identify the best practice or common practice within the regarded domain. In order to support the identification of best practice or common practice a communication platform is needed that contains process descriptions of the specific administrations that can be provided by the administrations themselves. The aim of our paper is to propose a conceptual framework of such a web based platform as well as application scenarios in the German public administration domain.",,"['Information Modeling', ' Configuration', ' XML', ' Interchange', ' AML', ' CML', ' Conceptual Modeling']",en
12239159,Enabling Widespread Configuration of Conceptual Models - An XML Approach,"The manual adaptation of conceptual models in general and reference models in particular is a time consuming and error prone task, which has to be carefully conducted. The configurative reference modeling approach promises support for the model developer as well as for the model user, as certain parts of a model can be automatically removed with respect to the requirements of a certain perspective. By this automation, the risk of creating faulty models during adaptation can be highly reduced. However, up to now this approach exists in terms of its conceptual specification, leaving software support to a proprietary prototype, not providing support for widespread modeling tools, which is necessary for acceptance and applicability of the approach. To face this gap, our approach proposes an XML schema, enabling the configuration of serialized conceptual model data of virtually any modeling language and any modeling tool capable of XML export.",Information Modeling; Configuration; XML; Interchange; AML; CML; Conceptual Modeling,"['Web 2.0', ' Internetökonomie', ' Websuche', ' Suchdienste']",en
12239249,"Universelles Suchen im Web - Eine technische, ökonomische und soziale Betrachtung",,Web 2.0; Internetökonomie; Websuche; Suchdienste,"['Business process management, Creativity management, Media industry, Workflow']",de
12239334,Toward the Concept of Pockets of Creativity in Business Processes,"Creativity-intensive processes such as the development of marketing campaigns or the production of visual effects increasingly find their way into the agenda of process managers. Such processes often comprise of both well-structured, transactional parts and creative parts that often cannot be specified in terms of their process flow, required resources, and outcome. Moreover, the processes' high variability sets boundaries for the possible degree of automation. In this paper we introduce the concept of pockets of creativity as an analytic device which is hoped to support process managers in their efforts to identify and describe creative sections in business processes. We argue that this step of identifying and describing is imperative to successfully allocate resources, integrate creativity into the overall process, and introduce process automation for those parts that are well-structured and can actually be automated. Our argument rests in the examination of existent literature as well as in findings from exploratory case studies that were conducted in the film and visual effects industry in order to study processes that rely on creativity.","['Business process management', 'Creativity management', 'Media industry', 'Workflow']",,en
12239414,Empirical-Based Construction of Reference Models in Public Administrations,"This paper introduces a tailored procedure model to construct reference models by using rich empirical data. The procedure model has been built based on requirements from the public administration domain and has been applied in two case studies. Public administrations are currently confronted with the challenge of demands for an increased service level and an efficient handling of requests from citizens and companies. Therefore, there is a strong need to identify common and best practices for business processes. This knowledge is crucial in order to guide reorganisation efforts. Reference models have been established as an important mean to document process knowledge that applies to more than one organisation. To empirically acquire process knowledge in public administrations we propose a tailored procedure model and exemplify its application.",,,en
12239500,Verbundgruppen im Internet: Ein Referenzmodell,,,,de
12239581,"Erweiterungspotenziale für die Modellierung mit ""H2 for Reporting"" am Beispiel von Forschungsportalen",,,,de
12239667,Serviceorientierte Informationssystemarchitekturen zur Integration von Produktion und Dienstleistung am Beispiel des WEEE-Recycling,,,"['Ontology, Ontology design, Product-service bundles, Service discovery']",de
12239743,An Ontology-based Service Discovery Approach for the Provisioning of Product-Service Bundles,"More and more traditional manufacturing companies form or join inter-organizational networks to bundle their physical products with related services to offer superior value propositions to their customers. Some of these product-related services can be digitized completely and thus fully delivered electronically. Other services require the physical integration of external factors, but can still be coordinated electronically. In both cases companies and consumers face the problem of discovering appropriate product-related service offerings in the network or market. Based on ideas from the web service discovery discipline we propose a meet-in-the-middle approach between heavy-weight semantic technologies and simple boolean search to address this issue. Our approach is able to consider semantic relations in service descriptions and queries and thus delivers better results than syntax-based search. However - unlike most semantic approaches - it does not require the use of any formal language for semantic markup and thus requires less resources and skills for both service providers and consumers. To fully realize the potentials of the proposed approach a domain ontology is needed. In this research-in-progress paper we construct such an ontology for the domain of product-service bundles through analysis and synthesis of related work on service description. This will serve as an anchor for future research to iteratively improve and evaluate the ontology through collaborative design efforts and practical application.","['Ontology', 'Ontology design', 'Product-service bundles', 'Service discovery']",,en
12239817,Referenzmodellgestütztes Compliance Reporting am Beispiel der EU-Finanzmarktrichtlinie MiFID,,,"['hybride Wertschöpfung, Leistungsbündel, Begriffsvielfalt, Praxisbeispiele, Forschungsprojekte']",de
12239897,Integration von Sach- und Dienstleistungen – Ausgewählte Internetquellen zur hybriden Wertschöpfung,"Als Ergebnis einer Recherche zur hybriden Wertschöpfung werden Internetquellen zu interessanten Praxisbeispielen und Studien präsentiert, um die praktische Relevanz der Integration von Sach- und Dienstleistungen zu unterstreichen. Anhand einer Vielzahl an Forschungsprojekten zur hybriden Wertschöpfung, deren Webseiten untersucht und kategorisiert wurden, wird gezeigt, dass die hybride Wertschöpfung auch in der Forschung intensiv diskutiert wird. Die Ergebnisse der Internetrecherche verdeutlichen darüber hinaus eine große Begriffsvielfalt in der Bezeichnung von Kombinationen aus Sach- und Dienstleistungen, die eine Orientierung in diesem Themenbereich besonders erschwert.","['hybride Wertschöpfung', 'Leistungsbündel', 'Begriffsvielfalt', 'Praxisbeispiele', 'Forschungsprojekte']",,
12239976,Softwarequalität als Auswahlmerkmal: Eine empirische Untersuchung,,,"['Multidimensional modelling', ' Data warehousing', ' Reference modelling', ' ME/RM']",de
12240052,Multidimensional Reference Models for Data Warehouse Development,"In the area of Data Warehousing the importance of conceptual modelling increases as it gains the status of a critical success factor. Nevertheless the application of conceptual modelling in practice often remains undone, due to time and cost restrictions. Reference models seem to be a suitable solution for this problem as they provide generic models which can be easily adapted to specific problems and thus decrease the modelling outlay. This paper identifies the requirements for multidimensional modelling techniques whose fulfillment are a prerequisite for the construction of reference models. Referring to the ME/RM, the concrete implementation of these requirements will be illustrated.",Multidimensional modelling; Data warehousing; Reference modelling; ME/RM,,en
12240134,Plädoyer für die Entwicklung perspektivenspezifischer Problemlösungskomponenten zur Unterstützung der Prozessverbesserung,,,,de
12240210,The Application of Taxonomies in the Context of Configurative Reference Modelling,"The manual customisation of reference models to suite special purposes is an exhaustive task that has to be accomplished thoroughly to preserve, explicit and extend the inherit intention. This can be facilitated by the usage of automatisms like those being provided by the Configurative Reference Modelling approach. Thus, the reference model has to be enriched by data describing for which scenario a certain element is relevant. By assigning this data to application contexts, it builds a taxonomy. This paper aims to illustrate the advantage of the usage of this taxonomy during three relevant phases of Configurative Reference Modelling, Project Aim Definition, Construction and Configuration of the configurable reference model.",,"['Citation analysis, Co-authorship, Knowledge economy, Knowledge sharing, Online literature databases, Rankings, Reputation competition, Research cooperation']",en
12240298,Knowledge Transfer in Information Systems Research. State of the Art and Perspectives for Internet Literature Services,"IS researchers and delivers development prospects based on the findings. The identification of relevant online services is based on an intensive search covering more than 1,000 conference websites, articles, books, etc. Descriptive statistics and cluster analyses have been used for the data interpretation. Based on the results and an analysis framework for scientific processes, a deficit analysis has been conducted.","['Citation analysis', 'Co-authorship', 'Knowledge economy', 'Knowledge sharing', 'Online literature databases', 'Rankings', 'Reputation competition', 'Research cooperation']",,en
12240372,Serviceidentifikation für die Produktionsplanung eines mittelständischen Auftragsfertigers,,,,de
12240450,Anpassung und Entwicklung von Warenwirtschaftssystemen - eine explorative Untersuchung,,,,de
12240525,Konfigurative Referenzmodellierung zur Fachkonzeption von Data-Warehouse-Systemen mit dem H2-Toolset,,,"['Case study, Conceptual modelling, Data warehousing, Information requirements engineering, Reporting']",de
12240602,Procedure Model for the Analysis and Design of Reporting Systems - A Case Study in Conceptual Modelling,"A structured conceptual design of reporting systems is a crucial task that has to precede implementation and monitoring. A basic challenge can be seen in information requirements engineering. On the one hand, users need certain information to successfully accomplish their tasks. On the other hand, it has to be avoided to supply them with too much and potentially irrelevant information. Information requirements engineering has to support the conceptual specification of information requirements. Thus, there is need for conceptual languages and appropriate procedure models. We propose a procedure model for the analysis and conceptual design of reporting systems as well as a conceptual modelling language that can be used for both as-is analysis and to-be modelling. It has been developed in an iterative approach based on multiple case studies. Due to the fact that different projects and different basic conditions require the use of different approaches of information requirements engineering, within the procedure model different approaches can be used. In this paper we introduce both procedure model and conceptual modelling language and present findings of a case study in which they were used. © 2006 Stefan Seidel, Ralf Knackstedt and Christian Janiesch.","['Case study', 'Conceptual modelling', 'Data warehousing', 'Information requirements engineering', 'Reporting']","['Citation Analysis, CoAuthorship, Knowledge Economy, Knowledge Sharing, Online Literature Databases, Rankings, Reputation Competition, Research Cooperations']",en
